CountyFIPS,Year,Disease,Disease_AdjPrev,is_extreme_disease
6047,2022,Current Asthma,9.8,False
6051,2019,COPD,5.3,False
6051,2019,Current Asthma,8.7,False
6051,2020,COPD,5.8,False
6051,2020,Current Asthma,9.7,False
6051,2021,COPD,5.4,False
6051,2021,Current Asthma,9.5,False
6051,2022,COPD,5.1,False
6051,2022,Current Asthma,9.9,False
6053,2019,COPD,5.2,False
6053,2019,Current Asthma,8.7,False
6053,2020,COPD,5.9,False
6053,2020,Current Asthma,9.7,False
6053,2021,COPD,5.5,False
6053,2021,Current Asthma,9.5,False
6053,2022,COPD,5.3,False
6053,2022,Current Asthma,9.6,False
6055,2019,COPD,4.4,False
6055,2019,Current Asthma,8.4,False
6055,2020,COPD,5.0,False
6055,2020,Current Asthma,9.5,False
6057,2019,COPD,5.2,False
6057,2019,Current Asthma,9.2,False
6057,2020,COPD,5.7,False
6057,2020,Current Asthma,10.1,False
6057,2021,COPD,5.4,False
6057,2021,Current Asthma,9.8,False
6057,2022,COPD,5.2,False
6057,2022,Current Asthma,10.4,False
6059,2019,COPD,4.1,False
6059,2019,Current Asthma,7.6,False
6059,2020,COPD,4.8,False
6059,2020,Current Asthma,9.0,False
6059,2021,COPD,4.3,False
6059,2021,Current Asthma,8.6,False
6059,2022,COPD,4.1,False
6059,2022,Current Asthma,9.0,False
6061,2019,COPD,4.4,False
6061,2019,Current Asthma,8.6,False
6061,2020,COPD,4.8,False
6061,2020,Current Asthma,9.5,False
6061,2021,COPD,4.5,False
6061,2021,Current Asthma,9.5,False
6061,2022,COPD,4.2,False
6061,2022,Current Asthma,10.0,False
6063,2019,COPD,5.7,False
6063,2019,Current Asthma,9.5,False
6063,2020,COPD,6.4,False
6063,2020,Current Asthma,10.5,False
6063,2021,COPD,6.1,False
6063,2021,Current Asthma,10.3,False
6063,2022,COPD,5.9,False
6063,2022,Current Asthma,11.0,False
6065,2019,COPD,5.1,False
6065,2019,Current Asthma,8.3,False
6065,2020,COPD,5.6,False
6065,2020,Current Asthma,9.8,False
6065,2021,COPD,5.3,False
6065,2021,Current Asthma,9.1,False
6065,2022,COPD,4.9,False
6065,2022,Current Asthma,9.5,False
6067,2019,COPD,5.2,False
6067,2019,Current Asthma,9.8,False
6067,2020,COPD,5.8,False
6067,2020,Current Asthma,10.4,False
6067,2021,COPD,5.3,False
6067,2021,Current Asthma,10.0,False
6067,2022,COPD,5.1,False
6067,2022,Current Asthma,10.2,False
6069,2019,COPD,4.5,False
6069,2019,Current Asthma,8.3,False
6069,2020,COPD,5.3,False
6069,2020,Current Asthma,9.5,False
6069,2021,COPD,4.7,False
6069,2021,Current Asthma,9.2,False
6069,2022,COPD,4.4,False
6069,2022,Current Asthma,9.1,False
6071,2019,COPD,5.1,False
6071,2019,Current Asthma,8.9,False
6071,2020,COPD,5.8,False
6071,2020,Current Asthma,10.1,False
6071,2021,COPD,5.6,False
6071,2021,Current Asthma,9.6,False
6071,2022,COPD,5.1,False
6071,2022,Current Asthma,9.8,False
6073,2019,COPD,4.6,False
6073,2019,Current Asthma,7.9,False
6073,2020,COPD,5.0,False
6073,2020,Current Asthma,9.0,False
6073,2021,COPD,4.7,False
6073,2021,Current Asthma,9.2,False
6073,2022,COPD,4.4,False
6073,2022,Current Asthma,8.9,False
6075,2019,COPD,3.6,False
6075,2019,Current Asthma,7.5,True
6075,2020,COPD,3.9,False
6075,2020,Current Asthma,8.4,False
6075,2021,COPD,3.6,False
6075,2021,Current Asthma,8.3,False
6075,2022,COPD,3.6,False
6075,2022,Current Asthma,8.5,False
6077,2019,COPD,5.3,False
6077,2019,Current Asthma,9.6,False
6077,2020,COPD,6.0,False
6077,2020,Current Asthma,9.8,False
6077,2021,COPD,5.6,False
6077,2021,Current Asthma,9.7,False
6077,2022,COPD,5.2,False
6077,2022,Current Asthma,9.5,False
6079,2019,COPD,5.0,False
6079,2019,Current Asthma,9.0,False
6079,2020,COPD,5.5,False
6079,2020,Current Asthma,9.7,False
6079,2021,COPD,5.2,False
6079,2021,Current Asthma,9.8,False
6079,2022,COPD,4.9,False
6079,2022,Current Asthma,10.0,False
6081,2019,COPD,3.5,False
6081,2019,Current Asthma,7.8,False
6081,2020,COPD,3.9,False
6081,2020,Current Asthma,8.3,False
6081,2021,COPD,3.5,False
6081,2021,Current Asthma,8.1,False
6081,2022,COPD,3.5,False
6081,2022,Current Asthma,8.5,False
6083,2019,COPD,4.9,False
6083,2019,Current Asthma,8.6,False
6083,2020,COPD,5.7,False
6083,2020,Current Asthma,9.9,False
6083,2021,COPD,5.3,False
6083,2021,Current Asthma,9.7,False
6083,2022,COPD,5.2,False
6083,2022,Current Asthma,9.7,False
6085,2019,COPD,3.5,False
6085,2019,Current Asthma,7.2,True
6085,2020,COPD,3.7,False
6085,2020,Current Asthma,7.9,False
6085,2021,COPD,3.3,False
6085,2021,Current Asthma,7.9,False
6085,2022,COPD,3.3,False
6085,2022,Current Asthma,7.9,False
6087,2019,COPD,4.8,False
6087,2019,Current Asthma,8.8,False
6087,2020,COPD,5.5,False
6087,2020,Current Asthma,9.9,False
6087,2021,COPD,5.1,False
6087,2021,Current Asthma,9.5,False
6087,2022,COPD,4.7,False
6087,2022,Current Asthma,9.8,False
6089,2019,COPD,6.4,False
6089,2019,Current Asthma,9.6,False
6089,2020,COPD,7.1,False
6089,2020,Current Asthma,10.8,False
6089,2021,COPD,6.5,False
6089,2021,Current Asthma,10.4,False
6089,2022,COPD,6.1,False
6089,2022,Current Asthma,10.9,False
6093,2019,COPD,6.6,False
6093,2019,Current Asthma,9.8,False
6093,2020,COPD,7.5,False
6093,2020,Current Asthma,11.0,False
6093,2021,COPD,7.0,False
6093,2021,Current Asthma,10.7,False
6093,2022,COPD,6.6,False
6093,2022,Current Asthma,11.2,False
6095,2019,COPD,4.6,False
6095,2019,Current Asthma,8.8,False
6095,2020,COPD,5.1,False
6095,2020,Current Asthma,9.8,False
6095,2021,COPD,4.8,False
6095,2021,Current Asthma,9.6,False
6095,2022,COPD,4.6,False
6095,2022,Current Asthma,10.1,False
6097,2019,COPD,4.7,False
6097,2019,Current Asthma,9.1,False
6097,2020,COPD,5.3,False
6097,2020,Current Asthma,9.9,False
6097,2021,COPD,5.1,False
6097,2021,Current Asthma,9.7,False
6097,2022,COPD,4.7,False
6097,2022,Current Asthma,9.8,False
6099,2019,COPD,5.7,False
6099,2019,Current Asthma,9.4,False
6099,2020,COPD,6.5,False
6099,2020,Current Asthma,10.0,False
6099,2021,COPD,6.1,False
6099,2021,Current Asthma,10.2,False
6099,2022,COPD,5.7,False
6099,2022,Current Asthma,10.0,False
6101,2019,COPD,5.9,False
6101,2019,Current Asthma,9.1,False
6101,2020,COPD,6.4,False
6101,2020,Current Asthma,10.0,False
6101,2021,COPD,6.0,False
6101,2021,Current Asthma,9.9,False
6101,2022,COPD,6.1,False
6101,2022,Current Asthma,10.0,False
6103,2019,COPD,7.2,False
6103,2019,Current Asthma,10.0,False
6103,2020,COPD,7.9,False
6103,2020,Current Asthma,10.9,False
6103,2021,COPD,7.3,False
6103,2021,Current Asthma,10.6,False
6103,2022,COPD,6.8,False
6103,2022,Current Asthma,10.7,False
6105,2019,COPD,7.2,False
6105,2019,Current Asthma,10.1,False
6105,2020,COPD,8.3,False
6105,2020,Current Asthma,11.1,False
6105,2021,COPD,7.9,False
6105,2021,Current Asthma,10.8,False
6105,2022,COPD,7.8,False
6105,2022,Current Asthma,11.3,False
6107,2019,COPD,6.3,False
6107,2019,Current Asthma,9.5,False
6107,2020,COPD,7.3,False
6107,2020,Current Asthma,10.8,False
6107,2021,COPD,6.7,False
6107,2021,Current Asthma,10.3,False
6107,2022,COPD,6.0,False
6107,2022,Current Asthma,10.0,False
6109,2019,COPD,6.0,False
6109,2019,Current Asthma,9.4,False
6109,2020,COPD,6.3,False
6109,2020,Current Asthma,10.1,False
6109,2021,COPD,5.8,False
6109,2021,Current Asthma,9.8,False
6109,2022,COPD,5.6,False
6109,2022,Current Asthma,10.5,False
6111,2019,COPD,4.4,False
6111,2019,Current Asthma,8.2,False
6111,2020,COPD,5.1,False
6111,2020,Current Asthma,9.5,False
6111,2021,COPD,4.8,False
6111,2021,Current Asthma,9.2,False
6111,2022,COPD,4.5,False
6111,2022,Current Asthma,9.5,False
6113,2019,COPD,5.0,False
6113,2019,Current Asthma,8.8,False
6113,2020,COPD,5.7,False
6113,2020,Current Asthma,9.7,False
6113,2021,COPD,5.2,False
6113,2021,Current Asthma,9.6,False
6113,2022,COPD,5.0,False
6113,2022,Current Asthma,9.8,False
8001,2019,COPD,4.7,False
8001,2019,Current Asthma,8.8,False
8001,2020,COPD,5.4,False
8001,2020,Current Asthma,10.0,False
8001,2021,COPD,5.5,False
8001,2021,Current Asthma,10.6,False
8001,2022,COPD,5.2,False
8001,2022,Current Asthma,10.9,False
8005,2019,COPD,4.1,False
8005,2019,Current Asthma,9.0,False
8005,2020,COPD,4.6,False
8005,2020,Current Asthma,9.8,False
8005,2021,COPD,4.9,False
8005,2021,Current Asthma,10.5,False
8005,2022,COPD,4.6,False
8005,2022,Current Asthma,10.5,False
8007,2019,COPD,4.8,False
8007,2019,Current Asthma,9.3,False
8007,2020,COPD,5.1,False
8007,2020,Current Asthma,9.8,False
8007,2021,COPD,5.5,False
8007,2021,Current Asthma,10.4,False
8007,2022,COPD,5.4,False
8007,2022,Current Asthma,11.0,False
8013,2019,COPD,4.0,False
8013,2019,Current Asthma,8.4,False
8013,2020,COPD,4.2,False
8013,2020,Current Asthma,9.5,False
8013,2021,COPD,4.4,False
8013,2021,Current Asthma,9.9,False
8013,2022,COPD,4.4,False
8013,2022,Current Asthma,10.3,False
8019,2019,COPD,4.4,False
8019,2019,Current Asthma,8.9,False
8019,2020,COPD,4.5,False
8019,2020,Current Asthma,9.4,False
8019,2021,COPD,4.4,False
8019,2021,Current Asthma,9.7,False
8019,2022,COPD,4.4,False
8019,2022,Current Asthma,10.7,False
8029,2019,COPD,6.6,False
8029,2019,Current Asthma,10.2,False
8029,2020,COPD,7.2,False
8029,2020,Current Asthma,10.7,False
8029,2021,COPD,7.1,False
8029,2021,Current Asthma,11.1,False
8031,2019,COPD,4.2,False
8031,2019,Current Asthma,9.0,False
8031,2020,COPD,4.6,False
8031,2020,Current Asthma,10.0,False
8031,2021,COPD,4.6,False
8031,2021,Current Asthma,9.6,False
8031,2022,COPD,4.4,False
8031,2022,Current Asthma,10.2,False
8035,2019,COPD,3.4,False
