CountyFIPS,Year,DiseaseID,Disease_AdjPrev
4017,2019,2,11.7
4017,2020,1,9.4
4017,2020,2,13.6
4017,2021,1,8.9
4017,2021,2,12.8
4017,2022,1,9.0
4017,2022,2,13.8
4019,2019,1,5.5
4019,2019,2,9.5
4019,2020,1,5.7
4019,2020,2,10.9
4019,2021,1,5.6
4019,2021,2,10.3
4019,2022,1,5.7
4019,2022,2,11.0
4021,2019,1,6.2
4021,2019,2,9.5
4021,2020,1,6.4
4021,2020,2,11.2
4021,2021,1,6.3
4021,2021,2,10.1
4021,2022,1,6.2
4021,2022,2,10.9
4023,2019,1,5.6
4023,2019,2,9.1
4023,2020,1,5.7
4023,2020,2,9.7
4023,2021,1,5.8
4023,2021,2,10.0
4023,2022,1,5.6
4023,2022,2,9.5
4025,2019,1,6.6
4025,2019,2,10.2
4025,2020,1,6.6
4025,2020,2,11.1
4025,2021,1,6.4
4025,2021,2,10.8
4025,2022,1,6.2
4025,2022,2,11.0
4027,2019,1,6.4
4027,2019,2,9.5
4027,2020,1,6.5
4027,2020,2,10.1
4027,2021,1,6.4
4027,2021,2,9.9
4027,2022,1,6.2
4027,2022,2,9.8
5019,2019,1,7.9
5019,2019,2,10.2
5019,2020,1,8.0
5019,2020,2,10.7
5019,2021,1,7.6
5019,2021,2,10.2
5019,2022,1,8.0
5019,2022,2,10.9
5035,2019,1,9.1
5035,2019,2,11.3
5035,2020,1,8.3
5035,2020,2,11.6
5035,2021,1,8.2
5035,2021,2,11.1
5035,2022,1,8.3
5035,2022,2,11.6
5113,2019,1,9.8
5113,2019,2,10.2
5113,2020,1,9.6
5113,2020,2,10.6
5113,2021,1,8.8
5113,2021,2,10.0
5113,2022,1,8.9
5113,2022,2,10.6
5119,2019,1,7.0
5119,2019,2,9.8
5119,2020,1,6.6
5119,2020,2,10.5
5119,2021,1,6.5
5119,2021,2,10.0
5119,2022,1,6.4
5119,2022,2,10.3
5139,2019,1,8.2
5139,2019,2,10.4
5143,2019,1,7.3
5143,2019,2,9.5
5143,2020,1,7.3
5143,2020,2,10.1
5143,2021,1,7.0
5143,2021,2,9.5
5143,2022,1,6.8
5143,2022,2,10.2
6001,2019,1,3.8
6001,2019,2,8.0
6001,2020,1,4.2
6001,2020,2,8.7
6001,2021,1,3.7
6001,2021,2,8.7
6001,2022,1,3.8
6001,2022,2,8.8
6005,2019,1,5.6
6005,2019,2,9.0
6005,2020,1,6.2
6005,2020,2,9.9
6005,2021,1,5.8
6005,2021,2,9.5
6005,2022,1,5.2
6005,2022,2,10.1
6007,2019,1,6.2
6007,2019,2,9.9
6007,2020,1,7.0
6007,2020,2,10.5
6007,2021,1,6.6
6007,2021,2,10.3
6007,2022,1,6.2
6007,2022,2,10.5
6009,2019,1,5.8
6009,2019,2,9.5
6009,2020,1,6.7
6009,2020,2,10.5
6009,2021,1,6.5
6009,2021,2,10.3
6009,2022,1,5.9
6009,2022,2,10.5
6011,2019,1,5.4
6011,2019,2,9.0
6011,2020,1,6.5
6011,2020,2,10.1
6011,2021,1,6.3
6011,2021,2,10.0
6011,2022,1,5.7
6011,2022,2,9.8
6013,2019,1,4.1
6013,2019,2,8.3
6013,2020,1,4.6
6013,2020,2,9.2
6013,2021,1,4.2
6013,2021,2,9.0
6013,2022,1,4.0
6013,2022,2,9.4
6015,2019,1,7.2
6015,2019,2,9.9
6015,2020,1,8.0
6015,2020,2,10.7
6015,2021,1,7.6
6015,2021,2,10.5
6015,2022,1,6.6
6015,2022,2,10.8
6017,2019,1,4.9
6017,2019,2,8.9
6017,2020,1,5.4
6017,2020,2,9.9
6017,2021,1,5.0
6017,2021,2,9.7
6017,2022,1,4.6
6017,2022,2,9.9
6019,2019,1,5.6
6019,2019,2,9.2
6019,2020,1,6.6
6019,2020,2,10.3
6019,2021,1,6.1
6019,2021,2,9.9
6019,2022,1,5.8
6019,2022,2,9.8
6021,2019,1,6.3
6021,2019,2,9.4
6021,2020,1,7.3
6021,2020,2,10.5
6021,2021,1,6.9
6021,2021,2,10.2
6021,2022,1,6.1
6021,2022,2,10.1
6023,2019,1,6.6
6023,2019,2,10.1
6023,2020,1,7.5
6023,2020,2,11.1
6023,2021,1,6.9
6023,2021,2,10.7
6023,2022,1,6.7
6023,2022,2,11.0
6025,2019,1,5.3
6025,2019,2,9.0
6025,2020,1,6.1
6025,2020,2,10.0
6025,2021,1,5.9
6025,2021,2,9.9
6025,2022,1,5.4
6025,2022,2,9.2
6027,2019,1,5.4
6027,2019,2,9.1
6027,2020,1,6.0
6027,2020,2,10.1
6027,2021,1,5.5
6027,2021,2,9.9
6027,2022,1,5.2
6027,2022,2,10.4
6029,2019,1,6.1
6029,2019,2,9.3
6029,2020,1,7.3
6029,2020,2,10.2
6029,2021,1,6.7
6029,2021,2,10.1
6029,2022,1,6.4
6029,2022,2,10.3
6031,2019,1,5.7
6031,2019,2,9.0
6031,2020,1,6.7
6031,2020,2,10.0
6031,2021,1,6.4
6031,2021,2,9.9
6031,2022,1,6.1
6031,2022,2,9.7
6033,2019,1,6.8
6033,2019,2,10.0
6033,2020,1,7.7
6033,2020,2,10.9
6033,2021,1,7.2
6033,2021,2,10.7
6033,2022,1,6.9
6033,2022,2,10.9
6037,2019,1,4.3
6037,2019,2,7.4
6037,2020,1,5.2
6037,2020,2,9.2
6037,2021,1,4.7
6037,2021,2,9.2
6037,2022,1,4.5
6037,2022,2,9.0
6039,2019,1,6.1
6039,2019,2,9.4
6039,2020,1,7.2
6039,2020,2,10.7
6039,2021,1,6.8
6039,2021,2,10.6
6039,2022,1,6.7
6039,2022,2,10.4
6041,2019,1,3.9
6041,2019,2,8.3
6041,2020,1,4.3
6041,2020,2,9.4
6041,2021,1,4.1
6041,2021,2,9.1
6041,2022,1,3.9
6041,2022,2,9.5
6043,2019,1,6.1
6043,2019,2,9.5
6043,2020,1,6.7
6043,2020,2,10.5
6043,2021,1,6.2
6043,2021,2,10.2
6043,2022,1,5.9
6043,2022,2,10.6
6045,2019,1,6.2
6045,2019,2,9.4
6045,2020,1,7.0
6045,2020,2,10.5
6045,2021,1,6.5
6045,2021,2,10.3
6045,2022,1,6.4
6045,2022,2,10.7
6047,2019,1,5.9
6047,2019,2,9.3
6047,2020,1,6.9
6047,2020,2,10.4
6047,2021,1,6.4
6047,2021,2,10.1
6047,2022,1,6.1
6047,2022,2,9.8
6051,2019,1,5.3
6051,2019,2,8.7
6051,2020,1,5.8
6051,2020,2,9.7
6051,2021,1,5.4
6051,2021,2,9.5
6051,2022,1,5.1
6051,2022,2,9.9
6053,2019,1,5.2
6053,2019,2,8.7
6053,2020,1,5.9
6053,2020,2,9.7
6053,2021,1,5.5
6053,2021,2,9.5
6053,2022,1,5.3
6053,2022,2,9.6
6055,2019,1,4.4
6055,2019,2,8.4
6055,2020,1,5.0
6055,2020,2,9.5
6057,2019,1,5.2
6057,2019,2,9.2
6057,2020,1,5.7
6057,2020,2,10.1
6057,2021,1,5.4
6057,2021,2,9.8
6057,2022,1,5.2
6057,2022,2,10.4
6059,2019,1,4.1
6059,2019,2,7.6
6059,2020,1,4.8
6059,2020,2,9.0
6059,2021,1,4.3
6059,2021,2,8.6
6059,2022,1,4.1
6059,2022,2,9.0
6061,2019,1,4.4
6061,2019,2,8.6
6061,2020,1,4.8
6061,2020,2,9.5
6061,2021,1,4.5
6061,2021,2,9.5
6061,2022,1,4.2
6061,2022,2,10.0
