CountyFIPS,Year,Population,Log_Population,Smoking_AdjPrev,Complete_4_Years,is_extreme_smoking,is_extreme_population
6033,2019,64386,4.808791445252275,16.5,True,False,False
6033,2020,64479,4.809418293408548,16.9,True,False,False
6033,2021,68766,4.837373762913333,16.3,True,False,False
6033,2022,67878,4.831729037508926,15.6,True,False,False
6037,2019,10039107,7.001695083105738,10.9,True,False,True
6037,2020,9943046,6.997519448617174,10.5,True,False,True
6037,2021,9829544,6.992533371049099,11.0,True,False,True
6037,2022,9663345,6.985127484964335,11.3,True,False,True
6039,2019,157327,5.196803261369422,14.1,True,False,False
6039,2020,157761,5.197999650469255,15.4,True,False,False
6039,2021,159410,5.202515561781529,15.7,True,False,False
6039,2022,162858,5.211809097076632,14.9,True,False,False
6041,2019,258826,5.413007900626364,9.5,True,False,False
6041,2020,257332,5.410493795379768,8.8,True,False,False
6041,2021,260206,5.415317306587014,8.9,True,False,False
6041,2022,254407,5.405529056738756,8.4,True,False,False
6043,2019,17203,4.2356041893398375,14.8,True,False,False
6043,2020,17160,4.234517283512687,14.5,True,False,False
6043,2021,17147,4.234188147853202,13.7,True,False,False
6043,2022,16919,4.228374690421907,13.3,True,False,False
6045,2019,86749,4.938264477157608,14.8,True,False,False
6045,2020,86061,4.934806388132299,15.0,True,False,False
6045,2021,91305,4.96049456080869,15.1,True,False,False
6045,2022,89108,4.949916696179288,14.7,True,False,False
6047,2019,277680,5.443544600663356,14.4,True,False,False
6047,2020,279252,5.445996292211473,15.0,True,False,False
6047,2021,286461,5.45706550365869,15.2,True,False,False
6047,2022,291920,5.465263850356592,14.5,True,False,False
6051,2019,14444,4.159687479754789,12.9,True,False,False
6051,2020,14534,4.162385155857241,12.6,True,False,False
6051,2021,13247,4.122117536313263,12.4,True,False,False
6051,2022,13066,4.116142653853793,11.6,True,False,False
6053,2019,434061,5.637550766613451,12.0,True,False,False
6053,2020,430906,5.634382541312201,12.4,True,False,False
6053,2021,437325,5.640804304812744,12.4,True,False,False
6053,2022,430723,5.634198063093888,12.1,True,False,False
6055,2019,137744,5.139072690473783,10.8,False,False,False
6055,2020,135965,5.133427127023717,11.1,False,False,False
6057,2019,99755,4.998934672960174,12.4,True,False,False
6057,2020,99606,4.998285499953895,12.2,True,False,False
6057,2021,103487,5.014885797301504,12.0,True,False,False
6057,2022,102037,5.008757681390137,11.5,True,False,False
6059,2019,3175692,6.501838374993465,10.4,True,False,True
6059,2020,3166857,6.500628453168864,10.5,True,False,True
6059,2021,3167809,6.500758988338322,9.7,True,False,True
6059,2022,3135755,6.496342123430572,9.3,True,False,True
6061,2019,398329,5.600241925996315,11.0,True,False,False
6061,2020,402950,5.605251160108172,10.4,True,False,False
6061,2021,412300,5.615213334801359,10.2,True,False,False
6061,2022,423561,5.626915964975244,9.6,True,False,False
6063,2019,18807,4.274319524558622,14.0,True,False,False
6063,2020,18967,4.277998644200288,13.9,True,False,False
6063,2021,19915,4.299180310745347,13.9,True,False,False
6063,2022,19131,4.281737671706917,13.7,True,False,False
6065,2019,2470546,6.392792944588593,12.5,True,False,True
6065,2020,2489188,6.39605769864927,13.0,True,False,True
6065,2021,2458395,6.390651663960567,12.4,True,False,True
6065,2022,2492442,6.39662506091628,11.6,True,False,True
6067,2019,1552058,6.190907946696196,13.3,True,False,True
6067,2020,1559146,6.192886784865248,12.6,True,False,True
6067,2021,1588921,6.201102304937416,12.7,True,False,True
6067,2022,1584288,6.199834132708997,11.8,True,False,True
6069,2019,62808,4.798014964351487,11.7,True,False,False
6069,2020,64055,4.80655303552734,11.8,True,False,False
6069,2021,66677,4.823976051372591,11.0,True,False,False
6069,2022,68175,4.833625146613668,10.8,True,False,False
6071,2019,2180085,6.338473426774929,13.2,True,False,True
6071,2020,2189183,6.340282066989717,13.5,True,False,True
6071,2021,2194710,6.341377142473202,12.5,True,False,True
6071,2022,2195611,6.341555397928184,12.4,True,False,True
6073,2019,3338330,6.5235292652657,11.0,True,False,True
6073,2020,3332427,6.522760644554187,10.9,True,False,True
6073,2021,3286069,6.516676678394428,10.6,True,False,True
6073,2022,3269973,6.514544166727741,10.1,True,False,True
6075,2019,881549,5.945246457121077,9.3,True,False,True
6075,2020,866606,5.937821691573351,9.0,True,False,True
6075,2021,815201,5.9112647037439725,8.9,True,False,True
6075,2022,808988,5.907942079619152,8.8,True,False,True
6077,2019,762148,5.882039314308294,13.9,True,False,True
6077,2020,767967,5.885342558539559,13.9,True,False,True
6077,2021,789410,5.897302623601568,13.1,True,False,True
6077,2022,800965,5.903613539006875,12.7,True,False,True
6079,2019,283111,5.451956743778711,11.9,True,False,False
6079,2020,282249,5.4506324119070095,11.6,True,False,False
6079,2021,283159,5.452030369911761,11.7,True,False,False
6079,2022,281639,5.44969279362359,11.3,True,False,False
6081,2019,766573,5.884553518600159,9.2,True,False,True
6081,2020,758308,5.879845637731951,8.7,True,False,True
6081,2021,737888,5.86799044763163,8.1,True,False,True
6081,2022,726353,5.861147734603024,8.0,True,False,False
6083,2019,446499,5.6498204905594624,11.7,True,False,False
6083,2020,444766,5.648131580334878,11.7,True,False,False
6083,2021,446475,5.649797145943453,12.0,True,False,False
6083,2022,441257,5.644691607998734,11.6,True,False,False
6085,2019,1927852,6.285073690329023,8.7,True,False,True
6085,2020,1907105,6.28037460477398,8.4,True,False,True
6085,2021,1885508,6.275428379408563,7.4,True,False,True
6085,2022,1877592,6.273601226162726,8.2,True,False,True
6087,2019,273213,5.436501360067851,11.4,True,False,False
6087,2020,269925,5.431243110044611,11.4,True,False,False
6087,2021,267792,5.427797598785957,11.2,True,False,False
6087,2022,261547,5.417549742941478,10.7,True,False,False
6089,2019,180080,5.255465481992464,16.1,True,False,False
6089,2020,179027,5.252918534146043,15.4,True,False,False
6089,2021,182139,5.260402947834015,14.8,True,False,False
6089,2022,180366,5.256154673981781,14.1,True,False,False
6093,2019,43539,4.63887844998139,15.6,True,False,False
6093,2020,43245,4.635935901443889,16.1,True,False,False
6093,2021,44118,4.644615816355384,16.0,True,False,False
6093,2022,42905,4.632507906307724,15.2,True,False,False
6095,2019,447643,5.65093179761896,11.9,True,False,False
6095,2020,446935,5.650244366098431,11.9,True,False,False
6095,2021,451716,5.654865473755208,11.4,True,False,False
6095,2022,449218,5.652457149958196,11.3,True,False,False
6097,2019,494336,5.694022239091244,11.4,True,False,False
6097,2020,489819,5.690035627328334,11.8,True,False,False
6097,2021,485887,5.6865352795861766,11.0,True,False,False
6097,2022,481812,5.682877612326673,10.8,True,False,False
6099,2019,550660,5.7408835304304295,14.2,True,False,False
6099,2020,550081,5.740426644517734,14.4,True,False,False
6099,2021,552999,5.742724345961345,14.4,True,False,False
6099,2022,551430,5.741490389771279,13.6,True,False,False
6101,2019,96971,4.98664187423491,14.7,True,False,False
6101,2020,96385,4.984009451702538,14.3,True,False,False
6101,2021,99063,4.995911475914936,14.4,True,False,False
6101,2022,97948,4.990995572563205,14.1,True,False,False
6103,2019,65084,4.813474236405938,16.6,True,False,False
6103,2020,64494,4.8095193132694165,16.5,True,False,False
6103,2021,65498,4.816228038889112,16.0,True,False,False
6103,2022,64896,4.812217928981204,15.5,True,False,False
6105,2019,12285,4.0893751608161,17.4,True,False,False
6105,2020,12216,4.086929024048365,17.8,True,False,False
6105,2021,16060,4.205745540942663,18.0,True,False,False
6105,2022,15670,4.19506899646859,17.7,True,False,False
